index,name,category,city,rating,review_count,price_range,phone
116,Pasta Point #116,Italian,Los Angeles,3.2,92,$$$,+1-656-677-1539
117,Spice Symphony #117,Mexican,New York,4.1,339,$$,+1-701-247-7525
118,Ocean's Delight #118,American,Chicago,4.0,632,$$,+1-680-954-7375
119,Pizza Palace #119,Mexican,San Antonio,2.9,161,$$,+1-909-805-2284
120,Pizza Palace #120,Mexican,New York,4.4,77,$,+1-547-337-2245
121,Sushi World #121,Mediterranean,San Jose,3.8,139,$$$$,+1-892-434-1485
122,Pasta Point #122,French,San Diego,4.4,291,$$,+1-464-666-7150
123,Burger Haven #123,Indian,San Jose,3.8,649,$$$$,+1-187-890-5839
124,Grill House #124,Chinese,Los Angeles,2.5,658,$$$,+1-257-489-3527
125,Burger Haven #125,Mexican,Philadelphia,3.3,609,$,+1-193-105-6050
126,Curry Kingdom #126,Mexican,Phoenix,2.5,571,$,+1-235-189-4070
127,Burger Haven #127,French,Dallas,4.8,739,$$$$,+1-205-126-2468
128,Sushi World #128,Greek,Los Angeles,4.7,342,$$$,+1-984-494-1202
129,Pasta Point #129,Thai,San Antonio,4.6,400,$,+1-842-672-4977
130,Noodle Nook #130,Greek,Chicago,3.3,621,$$$$,+1-273-242-5405
131,Pasta Point #131,American,San Diego,2.6,553,$$,+1-164-271-8121
132,Pasta Point #132,Thai,Phoenix,4.7,311,$$$$,+1-901-178-6916
133,Pasta Point #133,Japanese,San Diego,4.9,474,$$,+1-568-209-3219
134,Pasta Point #134,Italian,San Antonio,2.7,527,$$$,+1-961-735-7224
135,Sushi World #135,French,Philadelphia,3.7,629,$$$$,+1-935-943-3230
136,Pasta Point #136,Mexican,San Jose,2.7,450,$$,+1-590-421-3910
137,Burger Haven #137,Mexican,Phoenix,4.4,111,$$$$,+1-689-900-4971
138,Sushi World #138,Thai,Phoenix,4.4,822,$$$$,+1-473-216-4273
139,Noodle Nook #139,Greek,Chicago,2.8,728,$,+1-844-572-4434
140,Curry Kingdom #140,American,Los Angeles,3.7,127,$$$$,+1-789-611-3280
141,Pasta Point #141,Japanese,Phoenix,3.9,883,$$,+1-832-533-7176
142,Ocean's Delight #142,French,San Jose,3.2,680,$$$$,+1-696-510-9755
143,Pizza Palace #143,Thai,Dallas,4.7,676,$,+1-909-468-9796
144,Noodle Nook #144,Chinese,Los Angeles,3.6,908,$$,+1-773-780-6816
145,Spice Symphony #145,Mediterranean,New York,3.0,797,$$$$,+1-870-439-8052
146,Ocean's Delight #146,Italian,Los Angeles,3.8,574,$$$,+1-327-622-9499
147,Pizza Palace #147,Mediterranean,San Jose,4.3,748,$$,+1-556-483-7408
148,Curry Kingdom #148,Mediterranean,Dallas,3.0,896,$$,+1-453-125-8909
149,Ocean's Delight #149,American,San Antonio,3.3,230,$,+1-218-951-3321
150,Sushi World #150,American,Philadelphia,5.0,450,$$$$,+1-903-311-9537
151,Curry Kingdom #151,Mexican,San Diego,4.1,472,$,+1-548-839-8412
152,Sushi World #152,Chinese,Phoenix,3.6,919,$,+1-929-827-2885
153,Tasty Table #153,Mexican,Los Angeles,3.8,243,$$,+1-858-349-9454
154,Spice Symphony #154,Greek,Chicago,2.8,433,$$$,+1-673-536-8570
155,Grill House #155,Thai,Chicago,3.1,357,$$,+1-755-773-8080
156,Burger Haven #156,Italian,San Jose,3.3,857,$$,+1-560-706-8037
157,Burger Haven #157,Italian,Houston,4.0,474,$$,+1-385-870-2025
158,Noodle Nook #158,Chinese,Dallas,3.1,418,$$,+1-474-433-4228
159,Curry Kingdom #159,Chinese,Phoenix,3.1,435,$$$$,+1-640-754-6134
160,Noodle Nook #160,Thai,San Jose,2.7,757,$$$$,+1-701-216-6700
161,Sushi World #161,French,San Jose,4.1,107,$$,+1-933-789-5873
162,Noodle Nook #162,Mediterranean,Los Angeles,3.1,330,$$,+1-420-220-4908
163,Pasta Point #163,Chinese,Chicago,4.8,447,$$$,+1-810-244-9369
164,Burger Haven #164,Thai,San Jose,4.6,330,$$,+1-688-492-7931
165,Spice Symphony #165,French,Dallas,2.7,691,$$,+1-668-270-9022
166,Pasta Point #166,Indian,Chicago,3.1,271,$$$,+1-962-561-1878
167,Sushi World #167,Italian,San Diego,4.2,393,$$,+1-299-934-7290
168,Pizza Palace #168,Greek,San Diego,3.0,986,$$$$,+1-801-603-7809
169,Curry Kingdom #169,French,Chicago,2.8,166,$,+1-678-131-4613
170,Pasta Point #170,Italian,Phoenix,4.8,713,$$,+1-650-395-3755
171,Curry Kingdom #171,Mediterranean,San Diego,3.9,955,$,+1-686-216-5389
172,Pizza Palace #172,Mexican,Dallas,3.7,495,$,+1-878-836-8231
173,Pizza Palace #173,Japanese,San Antonio,4.5,78,$,+1-853-949-5055
174,Pasta Point #174,Italian,San Diego,4.5,103,$$$,+1-456-982-2425
175,Curry Kingdom #175,Chinese,Houston,3.0,861,$$,+1-930-855-6744
176,Noodle Nook #176,Thai,Chicago,2.7,97,$$,+1-903-311-4390
177,Tasty Table #177,Mediterranean,Philadelphia,3.6,105,$$$,+1-711-651-3758
178,Sushi World #178,American,Phoenix,3.6,452,$$$,+1-978-626-2560
179,Spice Symphony #179,Thai,New York,3.7,108,$$$,+1-987-771-3078
180,Spice Symphony #180,Japanese,Chicago,4.3,772,$$$,+1-948-353-7434
181,Curry Kingdom #181,Indian,San Jose,4.2,766,$$$,+1-742-524-7146
182,Curry Kingdom #182,Chinese,Los Angeles,5.0,391,$$$$,+1-627-867-5558
183,Sushi World #183,French,San Diego,2.7,841,$$$,+1-695-102-2526
184,Curry Kingdom #184,Mexican,Los Angeles,3.5,143,$$$$,+1-323-539-4470
185,Curry Kingdom #185,American,Philadelphia,3.3,579,$$$,+1-445-660-3139
186,Noodle Nook #186,French,Philadelphia,4.7,71,$,+1-147-201-8529
187,Tasty Table #187,Chinese,Chicago,3.1,610,$$$$,+1-567-100-8009
188,Grill House #188,Indian,Phoenix,3.0,989,$$,+1-995-997-5489
189,Ocean's Delight #189,Mexican,Phoenix,3.6,585,$,+1-480-780-3711
190,Tasty Table #190,Thai,Phoenix,3.6,585,$$,+1-539-771-2494
191,Ocean's Delight #191,Italian,Houston,3.2,347,$$$$,+1-179-235-4705
192,Pizza Palace #192,French,New York,3.1,696,$,+1-812-451-2975
193,Burger Haven #193,Indian,San Diego,4.8,135,$,+1-334-492-2463
194,Ocean's Delight #194,Chinese,Philadelphia,3.6,430,$$$,+1-406-240-7270
195,Spice Symphony #195,Indian,Los Angeles,4.7,372,$,+1-724-765-3688
196,Curry Kingdom #196,Mexican,Houston,3.9,904,$$,+1-521-730-8248
197,Grill House #197,Chinese,Los Angeles,2.6,691,$$,+1-870-226-7291
198,Sushi World #198,Thai,Philadelphia,5.0,973,$$,+1-353-383-2380
199,Grill House #199,Greek,San Jose,4.6,778,$$$,+1-897-807-1439
200,Pasta Point #200,Japanese,Dallas,4.9,443,$$,+1-865-501-5842
201,Tasty Table #201,Japanese,San Diego,4.8,898,$$$$,+1-215-346-9185
202,Noodle Nook #202,Chinese,Dallas,4.6,947,$,+1-469-424-3162
203,Burger Haven #203,Mediterranean,San Antonio,2.9,748,$$$,+1-659-799-3830
204,Curry Kingdom #204,Chinese,New York,3.7,62,$,+1-114-368-4534
205,Tasty Table #205,Italian,San Antonio,3.0,304,$$$,+1-743-829-9209
206,Burger Haven #206,Thai,San Antonio,3.5,624,$,+1-755-649-9808
207,Noodle Nook #207,Indian,Phoenix,2.6,329,$,+1-417-180-9377
208,Grill House #208,Indian,Dallas,3.4,370,$$$,+1-500-700-2083
209,Pasta Point #209,Thai,Houston,5.0,116,$,+1-350-188-8118
210,Ocean's Delight #210,French,San Jose,3.2,601,$,+1-416-782-3877
211,Ocean's Delight #211,Italian,Chicago,4.5,529,$,+1-267-608-6680
212,Pizza Palace #212,Greek,Phoenix,3.6,227,$$,+1-480-229-5403
213,Ocean's Delight #213,Italian,Philadelphia,3.6,168,$$$$,+1-378-636-2046
214,Pasta Point #214,Mediterranean,Los Angeles,4.9,682,$$$$,+1-566-623-6900
215,Tasty Table #215,French,San Jose,5.0,503,$$,+1-476-261-5179
216,Ocean's Delight #216,Mediterranean,Los Angeles,3.9,239,$$,+1-858-621-1042
217,Tasty Table #217,Italian,Houston,4.3,877,$,+1-583-472-7274
218,Spice Symphony #218,Indian,New York,2.9,120,$$$$,+1-329-429-5067
219,Burger Haven #219,Mexican,Phoenix,3.2,368,$,+1-685-481-2956
220,Pizza Palace #220,Italian,Chicago,4.9,875,$$,+1-923-628-1752
221,Burger Haven #221,Chinese,San Diego,3.9,579,$$$,+1-892-965-6090
222,Sushi World #222,Chinese,Dallas,3.9,386,$$$$,+1-108-477-4287
223,Pasta Point #223,Mediterranean,Phoenix,4.4,127,$$,+1-575-477-9083
224,Grill House #224,Greek,Houston,2.6,790,$$,+1-106-519-1391
225,Grill House #225,Greek,Philadelphia,4.0,295,$,+1-443-101-7164
226,Pasta Point #226,Chinese,Houston,3.8,597,$$,+1-529-603-1981
227,Spice Symphony #227,American,Los Angeles,4.6,241,$,+1-337-965-9515
228,Burger Haven #228,Mexican,San Diego,2.9,836,$,+1-694-197-9280
229,Spice Symphony #229,Thai,Los Angeles,4.9,449,$,+1-545-778-3141
230,Grill House #230,American,Phoenix,2.7,875,$$$,+1-920-502-6345
231,Sushi World #231,French,Phoenix,3.0,584,$$,+1-176-307-3230
232,Noodle Nook #232,Chinese,Chicago,4.0,795,$,+1-268-560-8635
233,Sushi World #233,Thai,Los Angeles,4.2,848,$$$,+1-888-312-8404
234,Pasta Point #234,French,Phoenix,3.1,646,$,+1-192-261-5984
235,Noodle Nook #235,Italian,Houston,2.8,638,$$$,+1-251-193-5066
236,Sushi World #236,Thai,Dallas,4.7,701,$,+1-793-406-5262
237,Spice Symphony #237,Italian,San Antonio,3.1,668,$$$$,+1-669-866-5093
238,Ocean's Delight #238,French,Los Angeles,4.0,580,$$,+1-224-112-2010
239,Grill House #239,Indian,Houston,4.0,36,$$$$,+1-481-802-2376
240,Noodle Nook #240,Mediterranean,Phoenix,3.5,633,$,+1-122-166-4239
241,Curry Kingdom #241,Indian,Los Angeles,4.0,961,$$$,+1-225-143-8552
242,Tasty Table #242,Indian,San Jose,3.8,683,$$$$,+1-941-841-7471
243,Curry Kingdom #243,Italian,San Antonio,4.8,859,$$$$,+1-276-462-4517
244,Spice Symphony #244,American,Phoenix,3.0,720,$$$$,+1-252-135-5026
245,Pasta Point #245,French,San Antonio,4.3,283,$$$$,+1-162-189-5583
246,Burger Haven #246,Indian,San Antonio,3.1,39,$$,+1-758-916-9614
247,Grill House #247,Greek,New York,3.5,194,$$$$,+1-900-830-6883
248,Curry Kingdom #248,Greek,San Diego,4.2,289,$$$,+1-679-614-6269
249,Burger Haven #249,American,Chicago,3.2,729,$,+1-426-711-4588
250,Tasty Table #250,American,New York,3.3,790,$$$$,+1-642-466-4813
251,Spice Symphony #251,Chinese,Houston,4.4,326,$$,+1-372-646-1916
252,Grill House #252,Mediterranean,San Antonio,2.7,953,$$$,+1-959-965-3846
253,Spice Symphony #253,Japanese,San Jose,3.6,357,$$$,+1-925-855-6878
254,Noodle Nook #254,Italian,Philadelphia,5.0,369,$$,+1-676-292-9064
255,Pizza Palace #255,American,Chicago,5.0,16,$$$$,+1-138-192-1920
256,Grill House #256,Mediterranean,Houston,2.7,195,$,+1-639-589-1011
257,Sushi World #257,Mediterranean,Houston,3.0,900,$$,+1-448-834-3907
258,Sushi World #258,Italian,New York,3.2,156,$$,+1-700-821-3320
259,Ocean's Delight #259,Greek,Philadelphia,4.8,589,$,+1-482-821-7481
260,Noodle Nook #260,Chinese,Philadelphia,4.7,683,$$$,+1-430-239-3580
261,Burger Haven #261,French,Philadelphia,4.7,420,$$,+1-824-675-6846
262,Grill House #262,Mediterranean,Chicago,3.4,81,$$$$,+1-414-851-5825
263,Spice Symphony #263,Indian,New York,2.9,155,$$$$,+1-971-889-1530
264,Spice Symphony #264,Mediterranean,Philadelphia,4.6,768,$$,+1-754-679-2705
265,Curry Kingdom #265,Indian,Philadelphia,4.3,658,$,+1-343-455-6234
266,Spice Symphony #266,Chinese,Philadelphia,4.0,41,$$$$,+1-111-371-4435
267,Grill House #267,Chinese,Philadelphia,5.0,103,$$$,+1-905-210-1020
268,Tasty Table #268,Thai,San Diego,4.1,774,$$$$,+1-270-523-9078
269,Burger Haven #269,Mexican,Dallas,2.5,553,$$$$,+1-203-948-8855
270,Noodle Nook #270,Japanese,Chicago,4.5,230,$$$$,+1-175-918-1547
271,Pasta Point #271,Italian,Philadelphia,3.2,395,$$$,+1-207-175-6600
272,Spice Symphony #272,Thai,Chicago,4.2,439,$,+1-660-195-6536
273,Noodle Nook #273,Mediterranean,San Diego,4.8,474,$,+1-541-769-3703
274,Noodle Nook #274,Thai,Chicago,2.8,359,$,+1-203-439-4367
275,Grill House #275,Thai,Dallas,2.8,171,$$$,+1-776-388-5872
276,Grill House #276,Chinese,New York,2.8,388,$$$$,+1-685-662-9043
277,Spice Symphony #277,Italian,Philadelphia,3.9,329,$,+1-537-189-5825
278,Noodle Nook #278,French,Houston,3.2,748,$,+1-126-311-3798
279,Pasta Point #279,Chinese,San Diego,4.0,342,$,+1-415-903-7512
280,Curry Kingdom #280,French,Phoenix,4.3,805,$,+1-757-657-7349
281,Spice Symphony #281,Mexican,San Antonio,3.0,974,$$$,+1-291-556-1731
282,Pasta Point #282,French,San Diego,4.1,591,$$$,+1-331-957-5400
283,Noodle Nook #283,Italian,Chicago,3.2,620,$,+1-187-784-6632
284,Pizza Palace #284,Thai,San Jose,3.7,96,$$,+1-666-162-7342
285,Pizza Palace #285,Thai,Dallas,4.8,914,$$$$,+1-686-341-8803
286,Pasta Point #286,Chinese,San Antonio,4.6,63,$,+1-614-684-9467
287,Noodle Nook #287,Mediterranean,Chicago,2.7,169,$,+1-875-559-3832
288,Spice Symphony #288,Japanese,Houston,3.6,171,$$,+1-143-533-2283
289,Burger Haven #289,Japanese,Chicago,3.2,782,$$$,+1-427-844-2097
290,Ocean's Delight #290,Thai,Dallas,2.5,642,$$$$,+1-665-433-5525
291,Pizza Palace #291,French,New York,4.4,60,$$$$,+1-215-524-3451
292,Spice Symphony #292,Mediterranean,San Jose,4.1,700,$,+1-208-676-2654
293,Pasta Point #293,Greek,Philadelphia,3.2,93,$$$$,+1-370-492-8955
294,Noodle Nook #294,Mediterranean,San Diego,4.4,288,$,+1-276-382-7602
295,Spice Symphony #295,Mediterranean,San Jose,3.9,463,$$$$,+1-139-505-6431
296,Grill House #296,Italian,San Diego,3.6,687,$$$,+1-481-120-6535
297,Pasta Point #297,American,Phoenix,2.5,444,$$$$,+1-978-812-2609
298,Grill House #298,Indian,Phoenix,2.7,507,$$$$,+1-892-945-6257
299,Pasta Point #299,Thai,San Jose,4.7,631,$,+1-292-552-4463
300,Burger Haven #300,French,Dallas,4.8,462,$$$,+1-940-157-9442
301,Spice Symphony #301,Chinese,Phoenix,3.9,434,$$$$,+1-238-899-9589
302,Noodle Nook #302,Italian,Chicago,4.6,289,$$,+1-996-952-4288
303,Tasty Table #303,Japanese,New York,4.0,230,$$$$,+1-151-469-4262
304,Pasta Point #304,Mexican,San Diego,2.9,783,$$$$,+1-750-226-1500
305,Grill House #305,Mexican,San Diego,2.8,534,$$$$,+1-281-991-8775
306,Noodle Nook #306,Greek,Philadelphia,3.3,126,$$$,+1-267-957-5237
307,Ocean's Delight #307,American,New York,4.7,363,$$$$,+1-150-266-4511
308,Grill House #308,Japanese,Houston,4.5,450,$$$,+1-767-519-9409
309,Tasty Table #309,Italian,San Diego,4.7,123,$$,+1-762-277-1138
310,Grill House #310,American,San Jose,4.7,300,$$$,+1-829-826-5511
311,Burger Haven #311,Thai,Philadelphia,3.0,704,$$$$,+1-358-323-8646
312,Pasta Point #312,Greek,San Jose,3.1,704,$$$$,+1-698-204-1120
313,Pizza Palace #313,Mexican,Dallas,2.8,617,$$$,+1-405-800-2771
314,Curry Kingdom #314,Chinese,Philadelphia,4.5,508,$$$,+1-755-432-5536
315,Pasta Point #315,American,Houston,4.7,549,$$,+1-629-883-4937
316,Tasty Table #316,Mediterranean,San Antonio,3.5,693,$$$,+1-797-243-1417
317,Curry Kingdom #317,American,Phoenix,4.1,325,$$$$,+1-514-497-1578
318,Noodle Nook #318,Mediterranean,Houston,2.9,56,$$$,+1-843-830-4643
319,Pizza Palace #319,French,Philadelphia,4.8,235,$$$,+1-965-274-3967
320,Pasta Point #320,Chinese,San Diego,4.7,414,$$,+1-858-364-3999
321,Sushi World #321,Chinese,Houston,4.9,623,$$$,+1-328-862-6031
322,Burger Haven #322,Mexican,Philadelphia,4.5,66,$$$,+1-699-401-8598
323,Ocean's Delight #323,French,New York,4.7,17,$,+1-583-299-9199
324,Ocean's Delight #324,Thai,Dallas,2.6,219,$$$,+1-523-155-3470
325,Spice Symphony #325,Japanese,Philadelphia,4.3,318,$$$$,+1-683-568-3346
326,Sushi World #326,Indian,Los Angeles,3.3,978,$$$$,+1-440-746-3897
327,Sushi World #327,Italian,New York,4.8,226,$$$$,+1-380-314-3762
328,Noodle Nook #328,Indian,San Diego,4.5,795,$,+1-232-729-8105
329,Burger Haven #329,Thai,San Antonio,4.7,150,$$$$,+1-492-104-1618
330,Pizza Palace #330,Japanese,Philadelphia,4.5,792,$,+1-429-875-9700
331,Grill House #331,Italian,New York,3.2,271,$$,+1-331-810-6641
332,Pasta Point #332,Indian,Los Angeles,4.5,306,$$$$,+1-615-702-6015
333,Spice Symphony #333,Chinese,New York,2.8,345,$$$,+1-397-566-9524
334,Noodle Nook #334,Greek,Philadelphia,4.7,132,$$$$,+1-803-237-6615
335,Curry Kingdom #335,Mexican,Houston,4.6,17,$$,+1-931-513-1313
336,Grill House #336,Japanese,Chicago,3.1,519,$$,+1-851-122-9267
337,Spice Symphony #337,Chinese,Philadelphia,4.5,774,$,+1-484-997-5190
338,Pizza Palace #338,Mediterranean,New York,3.7,450,$,+1-777-210-1323
339,Tasty Table #339,Chinese,San Antonio,3.3,189,$$$$,+1-489-226-9966
340,Pasta Point #340,French,Chicago,4.5,142,$$,+1-811-802-1152
341,Pasta Point #341,Thai,Los Angeles,3.1,399,$$$,+1-737-720-3247
342,Burger Haven #342,Chinese,Dallas,2.6,555,$,+1-389-216-2741
343,Curry Kingdom #343,Japanese,San Jose,3.0,730,$$,+1-896-369-9571
